,Name,Year,Ratings,Reviews
0,Black Panther ,2018, 96%,517
1,Parasite (Gisaengchung) ,2019, 98%,456
2,Avengers: Endgame ,2019, 94%,532
3,Knives Out ,2019, 97%,458
4,Us ,2019, 93%,539
5,Toy Story 4 ,2019, 97%,446
6,Lady Bird ,2017, 99%,394
7,Citizen Kane ,1941, 100%,94
8,Mission: Impossible - Fallout ,2018, 97%,431
9,The Wizard of Oz ,1939, 98%,120
10,BlacKkKlansman ,2018, 96%,439
11,Get Out ,2017, 98%,389
12,The Irishman ,2019, 95%,444
13,Mad Max: Fury Road ,2015, 97%,424
14,Spider-Man: Into the Spider-Verse ,2018, 97%,385
15,Casablanca ,1942, 99%,93
16,Moonlight ,2016, 98%,387
17,A Star Is Born ,2018, 90%,521
18,Wonder Woman ,2017, 93%,461
19,Dunkirk ,2017, 93%,456
20,Inside Out ,2015, 98%,374
21,The Farewell ,2019, 98%,334
22,A Quiet Place ,2018, 96%,379
23,Modern Times ,1936, 100%,61
24,Eighth Grade ,2018, 99%,309
25,Portrait of a Lady on Fire (Portrait de la jeune fille en feu) ,2020, 98%,308
26,It Happened One Night ,1934, 98%,61
27,Roma ,2018, 95%,391
28,Booksmart ,2019, 96%,365
29,A Night at the Opera ,1935, 97%,69
30,The Third Man ,1949, 99%,82
31,Coco ,2017, 97%,346
32,Thor: Ragnarok ,2017, 93%,429
33,Spotlight ,2015, 97%,370
34,Selma ,2014, 99%,310
35,The Shape of Water ,2017, 92%,450
36,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) ,1920, 98%,66
37,The Godfather ,1972, 98%,100
38,La Grande illusion (Grand Illusion) ,1938, 97%,66
39,Arrival ,2016, 94%,428
40,Singin' in the Rain ,1952, 100%,63
41,Snow White and the Seven Dwarfs ,1937, 98%,53
42,Logan ,2017, 93%,417
43,Marriage Story ,2019, 94%,384
44,Double Indemnity ,1944, 97%,91
45,E.T. The Extra-Terrestrial ,1982, 98%,132
46,The Favourite ,2018, 93%,407
47,The Big Sick ,2017, 98%,301
48,Spider-Man: Far From Home ,2019, 91%,444
49,Star Wars: The Last Jedi ,2017, 90%,474
50,All About Eve ,1950, 99%,77
51,The Kid ,1921, 100%,44
52,Paddington 2 ,2018, 100%,243
53,1917 ,2020, 89%,448
54,The Adventures of Robin Hood ,1938, 100%,48
55,Boyhood ,2014, 97%,322
56,Once Upon a Time In Hollywood ,2019, 85%,559
57,Shadow of a Doubt ,1943, 100%,47
58,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) ",1922, 97%,67
59,Argo ,2012, 96%,358
60,Manchester by the Sea ,2016, 96%,349
61,Leave No Trace ,2018, 100%,235
62,12 Years a Slave ,2013, 95%,367
63,King Kong ,1933, 98%,64
64,The Invisible Man ,2020, 91%,399
65,Alien ,1979, 98%,125
66,La La Land ,2016, 91%,460
67,Incredibles 2 ,2018, 93%,381
68,Pain and Glory (Dolor y gloria) ,2019, 97%,292
69,Psycho ,1960, 96%,103
70,Call Me by Your Name ,2018, 94%,358
71,Star Wars: Episode VII - The Force Awakens ,2015, 92%,438
72,Zootopia ,2016, 98%,293
73,Laura ,1944, 100%,64
74,Gravity ,2013, 95%,355
75,Sunset Boulevard ,1950, 99%,70
76,The Maltese Falcon ,1941, 100%,57
77,War for the Planet of the Apes ,2017, 94%,355
78,The Florida Project ,2017, 96%,311
79,Widows ,2018, 91%,414
80,A Hard Day's Night ,1964, 98%,109
81,The Battle of Algiers (La Battaglia di Algeri) ,1967, 99%,89
82,Spider-Man: Homecoming ,2017, 92%,391
83,Rebecca ,1940, 100%,64
84,Metropolis ,1927, 97%,131
85,Seven Samurai (Shichinin no Samurai) ,1956, 100%,65
86,Top Hat ,1935, 100%,42
87,The Philadelphia Story ,1940, 100%,63
88,Baby Driver ,2017, 92%,387
89,Never Rarely Sometimes Always ,2020, 99%,216
90,North by Northwest ,1959, 99%,79
91,Shoplifters (Manbiki kazoku) ,2018, 99%,226
92,M ,1931, 100%,58
93,Hell or High Water ,2016, 97%,281
94,Shazam! ,2019, 90%,406
95,Jaws ,1975, 98%,90
96,Up ,2009, 98%,298
97,The Bride of Frankenstein ,1935, 98%,47
98,"The Godfather, Part II ",1974, 98%,85
99,Rear Window ,1954, 99%,75
